city,year_month,AQI,PM2.5,n_t,Temperature,Pressure,WindSpeed,Precipitation,Province,Policy_Month,DID
保定,2014-05,144.92037470725995,78.59250585480093,0.7176015982619486,21.811320754716984,1007.3349056603772,3.375,,河北,2016-01,0
保定,2014-06,109.37243401759531,72.10703812316716,0.7409051652117127,25.437619047619048,1005.5119047619047,2.333333333333333,,河北,2016-01,0
保定,2014-07,141.8778947368421,101.93684210526315,0.6337207857714345,27.69953271028038,1004.2588785046727,2.402061855670103,,河北,2016-01,0
保定,2014-08,110.98204419889505,75.62016574585634,0.7282818035443532,25.561290322580643,1008.3589861751152,1.967032967032967,,河北,2016-01,0
保定,2014-09,115.62073863636364,81.74147727272727,0.7062867217877958,20.194761904761904,1014.5252380952384,1.9,,河北,2016-01,0
保定,2014-10,207.5704225352113,156.9394366197183,0.4360855963422452,14.275115207373274,1020.3875576036863,1.9817073170731707,,河北,2016-01,0
保定,2014-11,213.2577319587629,170.75552282768777,0.3864416688332541,5.576190476190479,1024.2014285714283,2.066265060240964,,河北,2016-01,0
保定,2014-12,227.3219584569733,188.8545994065282,0.32140811069423825,-1.0124423963133642,1028.2732718894015,2.5759162303664915,,河北,2016-01,0
保定,2015-01,240.09806835066863,194.8023774145617,0.3000365691573834,-1.1111111111111114,1028.366666666667,2.261780104712042,,河北,2016-01,0
保定,2015-02,207.96955859969557,160.30593607305937,0.4239890986579503,1.5413265306122452,1024.7433673469386,2.181318681318681,,河北,2016-01,0
保定,2015-03,165.08976157082748,111.08976157082748,0.6008325377101269,9.214285714285714,1021.2046082949306,2.679611650485437,,河北,2016-01,0
保定,2015-04,118.12537764350456,81.37462235649545,0.7076049039845183,12.29047619047619,1016.822222222222,2.459016393442623,,河北,2016-01,0
保定,2015-05,95.72633136094672,64.21745562130178,0.7692539939540295,20.580645161290327,1007.9092165898616,2.712918660287081,,河北,2016-01,0
保定,2015-06,93.94977168949772,62.50684931506849,0.7754005403916222,25.378571428571433,1004.3433333333332,2.7376237623762383,,河北,2016-01,0
