city,year_month,AQI,PM2.5,n_t,Temperature,Pressure,WindSpeed,Precipitation
保定,2014-05,144.92037470725995,78.59250585480093,0.7176015982619486,21.81132075471698,1007.3349056603771,3.375,
保定,2014-06,109.37243401759531,72.10703812316716,0.7409051652117127,25.437619047619044,1005.5119047619048,2.3333333333333335,
保定,2014-07,141.8778947368421,101.93684210526315,0.6337207857714345,27.69953271028038,1004.2588785046729,2.402061855670103,
保定,2014-08,110.98204419889505,75.62016574585634,0.7282818035443532,25.561290322580643,1008.3589861751153,1.967032967032967,
保定,2014-09,115.62073863636364,81.74147727272727,0.7062867217877958,20.194761904761904,1014.5252380952384,1.9,
保定,2014-10,207.5704225352113,156.9394366197183,0.4360855963422452,14.275115207373272,1020.3875576036864,1.9817073170731707,
保定,2014-11,213.2577319587629,170.75552282768777,0.3864416688332541,5.576190476190478,1024.2014285714283,2.066265060240964,
保定,2014-12,227.3219584569733,188.8545994065282,0.32140811069423825,-1.0124423963133642,1028.2732718894015,2.575916230366492,
保定,2015-01,240.09806835066863,194.8023774145617,0.3000365691573834,-1.1111111111111114,1028.366666666667,2.261780104712042,
保定,2015-02,207.96955859969557,160.30593607305937,0.4239890986579503,1.541326530612245,1024.7433673469386,2.181318681318681,
保定,2015-03,165.08976157082748,111.08976157082748,0.6008325377101269,9.214285714285714,1021.2046082949306,2.679611650485437,
保定,2015-04,118.12537764350455,81.37462235649545,0.7076049039845183,12.29047619047619,1016.822222222222,2.459016393442623,
保定,2015-05,95.72633136094673,64.21745562130178,0.7692539939540295,20.580645161290327,1007.9092165898617,2.712918660287081,
保定,2015-06,93.94977168949772,62.50684931506849,0.7754005403916222,25.378571428571433,1004.3433333333332,2.737623762376238,
保定,2015-07,95.58882521489971,67.16905444126074,0.7586483162209863,26.932407407407407,1004.9949074074078,2.3300970873786406,
保定,2015-08,100.53760445682451,70.38440111420613,0.7470949403412164,25.74193548387096,1007.4972350230415,1.90625,
保定,2015-09,87.24887556221887,61.29985007496252,0.7797375271386118,20.376190476190473,1015.3704761904761,2.0523560209424083,
保定,2015-10,115.31497175141243,80.62994350282486,0.7102806822384046,14.306451612903214,1020.1617511520734,2.336683417085427,
保定,2015-11,134.7255474452555,111.207299270073,0.6004102015337971,3.55645933014354,1027.517224880382,1.9786096256684491,
保定,2015-12,253.11688311688312,212.3203463203463,0.23709104570213055,-0.3930232558139535,1028.6237209302328,2.136125654450262,
保定,2016-01,186.563930013459,149.35309973045818,0.4633448036836104,-4.346296296296296,1030.247685185185,2.18,
保定,2016-02,113.09956709956708,83.67676767676768,0.6993328409939998,1.7158415841584156,1026.7584158415846,2.3802083333333335,
保定,2016-03,117.7598908594816,76.59345156889495,0.7247845952816698,9.42488262910798,1020.6460093896716,2.5071090047393363,
保定,2016-04,113.9845288326301,68.72292545710268,0.7530649506493179,16.943062200956934,1011.7693779904309,2.8737864077669903,
保定,2016-05,102.3874643874644,66.44159544159544,0.7612622201371559,20.459447004608293,1010.0165898617507,2.7971014492753623,
保定,2016-06,86.63276836158191,54.427966101694906,0.8044295639921684,25.860765550239215,1004.452153110047,2.519607843137255,
保定,2016-07,97.47534246575344,71.00136986301371,0.7448780497268941,27.029493087557594,1004.2926267281106,2.0954773869346734,
保定,2016-08,57.11772853185595,37.682825484764535,0.8645981627111924,26.17592592592591,1007.5592592592585,1.9898989898989898,
保定,2016-09,99.7088068181818,70.734375,0.7458374150221887,21.944761904761904,1013.329047619047,1.9893048128342246,
保定,2016-10,128.4002732240437,97.2035519125683,0.6507284326309063,13.708755760368664,1021.1377880184332,2.1269035532994924,
保定,2016-11,184.01005747126442,144.32327586206898,0.4814179546285775,4.712621359223297,1024.4276699029128,2.046783625730994,
保定,2016-12,229.36350364963505,189.8087591240876,0.3179796263074518,-0.44792626728110607,1027.8239631336407,1.5885714285714285,
保定,2017-01,223.5150273224044,187.14227086183308,0.3275608454749017,-2.277777777777777,1029.2305555555558,1.910614525139665,
保定,2017-02,182.514880952381,146.17559523809524,0.4747622051317406,1.9459183673469385,1026.181632653061,2.0751445086705202,
保定,2017-03,116.43519781718963,85.40791268758527,0.693112494932826,8.364976958525345,1021.5760368663597,2.5024875621890548,
保定,2017-04,103.49162011173183,66.97486033519553,0.7593460940126893,16.415714285714287,1012.0876190476189,2.6551724137931036,
保定,2017-05,113.44722222222221,67.40416666666667,0.7578035115419451,22.407373271889394,1009.3640552995389,2.7524271844660193,
保定,2017-06,89.88401697312588,53.01272984441302,0.8095147874850611,25.43205741626795,1006.4425837320581,2.6146341463414635,
保定,2017-07,81.7913769123783,54.435326842837284,0.8044031153949185,27.648847926267283,1004.0152073732709,2.1346153846153846,
保定,2017-08,73.21576763485477,48.41908713692946,0.8260206533388061,25.657075471698086,1006.5627358490566,1.9554455445544554,
保定,2017-09,100.84705882352941,65.45882352941176,0.7647935137923864,22.33761904761903,1011.8604761904762,1.6666666666666667,
保定,2017-10,88.56756756756756,62.83378378378379,0.774225800250255,12.452073732718876,1024.1105990783417,1.711340206185567,
保定,2017-11,107.02638888888887,74.91527777777776,0.7308146052844775,3.9076190476190504,1024.9333333333332,1.9105263157894736,
保定,2017-12,132.00556328233657,98.53268428372739,0.6459525974131428,-0.6694444444444444,1028.4467592592596,2.045,
保定,2018-01,129.62957937584804,96.49389416553595,0.653278373129218,-3.6783410138248853,1028.4456221198152,2.1201923076923075,
保定,2018-02,118.63785394932935,86.99105812220566,0.6874239405904863,-0.15408163265306138,1025.0897959183676,2.7282608695652173,
保定,2018-03,128.42934051144007,89.7819650067295,0.6773956607307583,8.670046082949309,1019.7525345622121,2.3933649289099526,
保定,2018-04,91.30169971671387,56.42209631728046,0.7972642601299997,15.60765550239233,1014.4086124401916,2.876237623762376,
保定,2018-05,85.43015214384509,47.84923928077455,0.8280682292757447,21.349302325581366,1009.3986046511626,2.2,
保定,2018-06,86.65411436541143,42.90516039051604,0.8458332815729105,26.974285714285703,1003.6847619047619,2.4174757281553396,
保定,2018-07,66.0067842605156,41.575305291723204,0.8506117136938575,28.468518518518497,1004.3009259259261,2.1592039800995027,
保定,2018-08,60.036842105263155,33.13508771929825,0.8809390830384325,27.227777777777767,1007.2347222222221,1.9601990049751243,
