city,year_month,AQI,PM2.5,n_t
保定,2014-05,144.92037470725995,78.59250585480093,0.7176015982619486
保定,2014-06,109.37243401759531,72.10703812316716,0.7409051652117127
保定,2014-07,141.8778947368421,101.93684210526315,0.6337207857714345
保定,2014-08,110.98204419889503,75.62016574585635,0.7282818035443532
保定,2014-09,115.62073863636364,81.74147727272727,0.7062867217877958
保定,2014-10,207.57042253521126,156.93943661971832,0.4360855963422452
保定,2014-11,213.2577319587629,170.75552282768777,0.38644166883325404
保定,2014-12,227.3219584569733,188.8545994065282,0.32140811069423825
保定,2015-01,240.09806835066865,194.80237741456168,0.3000365691573834
保定,2015-02,207.96955859969557,160.30593607305937,0.4239890986579503
保定,2015-03,165.08976157082748,111.08976157082749,0.6008325377101269
保定,2015-04,118.12537764350454,81.37462235649546,0.7076049039845183
保定,2015-05,95.72633136094674,64.21745562130178,0.7692539939540295
保定,2015-06,93.94977168949772,62.50684931506849,0.7754005403916222
保定,2015-07,95.58882521489971,67.16905444126074,0.7586483162209863
保定,2015-08,100.53760445682451,70.38440111420613,0.7470949403412164
保定,2015-09,87.24887556221888,61.29985007496252,0.7797375271386118
保定,2015-10,115.31497175141243,80.62994350282486,0.7102806822384046
保定,2015-11,134.72554744525547,111.207299270073,0.6004102015337971
保定,2015-12,253.11688311688312,212.32034632034632,0.23709104570213058
保定,2016-01,186.56393001345896,149.3530997304582,0.4633448036836104
保定,2016-02,113.0995670995671,83.67676767676768,0.6993328409939998
保定,2016-03,117.75989085948159,76.59345156889495,0.7247845952816698
保定,2016-04,113.9845288326301,68.72292545710268,0.7530649506493179
保定,2016-05,102.38746438746439,66.44159544159544,0.7612622201371559
保定,2016-06,86.63276836158192,54.42796610169491,0.8044295639921684
保定,2016-07,97.47534246575343,71.0013698630137,0.7448780497268941
保定,2016-08,57.11772853185595,37.68282548476454,0.8645981627111924
保定,2016-09,99.70880681818181,70.734375,0.7458374150221887
保定,2016-10,128.40027322404373,97.2035519125683,0.6507284326309063
保定,2016-11,184.01005747126436,144.32327586206895,0.4814179546285775
保定,2016-12,229.36350364963505,189.8087591240876,0.3179796263074518
保定,2017-01,223.51502732240436,187.1422708618331,0.3275608454749017
保定,2017-02,182.51488095238096,146.17559523809524,0.4747622051317406
保定,2017-03,116.43519781718963,85.40791268758527,0.693112494932826
保定,2017-04,103.49162011173185,66.97486033519553,0.7593460940126893
保定,2017-05,113.44722222222222,67.40416666666667,0.7578035115419451
保定,2017-06,89.88401697312588,53.012729844413016,0.8095147874850611
保定,2017-07,81.7913769123783,54.43532684283728,0.8044031153949185
保定,2017-08,73.21576763485477,48.41908713692946,0.8260206533388061
保定,2017-09,100.84705882352941,65.45882352941176,0.7647935137923864
保定,2017-10,88.56756756756756,62.83378378378379,0.774225800250255
保定,2017-11,107.02638888888889,74.91527777777777,0.7308146052844775
保定,2017-12,132.00556328233657,98.5326842837274,0.6459525974131428
保定,2018-01,129.62957937584804,96.49389416553596,0.653278373129218
保定,2018-02,118.63785394932935,86.99105812220566,0.6874239405904863
保定,2018-03,128.4293405114401,89.78196500672948,0.6773956607307583
保定,2018-04,91.30169971671388,56.422096317280456,0.7972642601299997
保定,2018-05,85.43015214384509,47.84923928077455,0.8280682292757447
保定,2018-06,86.65411436541143,42.90516039051604,0.8458332815729105
保定,2018-07,66.0067842605156,41.575305291723204,0.8506117136938575
保定,2018-08,60.036842105263155,33.13508771929825,0.8809390830384325
保定,2018-09,63.8751902587519,37.76712328767123,0.864295264049902
保定,2018-10,92.62002743484226,61.82167352537723,0.7778625123800953
保定,2018-11,145.0909090909091,109.28531468531469,0.6073162718899665
保定,2018-12,135.75555555555556,99.04615384615384,0.6441075998247181
保定,2019-01,174.94892473118279,136.88978494623655,0.5081279561883149
保定,2019-02,149.1748878923767,114.80866965620329,0.5874697661825068
保定,2019-03,89.32476319350474,58.97428958051421,0.7880937254762836
保定,2019-04,79.61538461538461,44.84475524475525,0.8388639340390828
保定,2019-05,70.2489851150203,32.67523680649526,0.8825914182248594
保定,2019-06,74.20689655172414,35.91954022988506,0.8709339950195067
保定,2019-07,66.22567567567567,35.84864864864865,0.8711887224775526
保定,2019-08,50.82504012841091,27.97271268057785,0.8994885165276816
保定,2019-09,68.62757527733756,36.97622820919176,0.867137106330866
保定,2019-10,77.35593220338983,48.39689265536723,0.8261004024962151
保定,2019-11,90.10320781032078,57.567642956764296,0.7931480847187677
保定,2019-12,100.97975708502024,72.57219973009447,0.7392337476520174
保定,2020-01,167.01759133964816,132.85656292286873,0.5226201197968658
保定,2020-02,103.93623188405797,77.68840579710145,0.720850208400138
保定,2020-03,66.51347708894879,41.63342318059299,0.8504028846362939
保定,2020-04,61.96518105849582,32.31197771587744,0.8838966799096925
保定,2020-05,62.74024226110363,31.45222072678331,0.8869859566411389
保定,2020-06,66.84144645340751,28.51460361613352,0.8975413953301469
保定,2020-07,56.04177897574124,31.72911051212938,0.8859910369348786
保定,2020-08,46.25403225806452,25.15994623655914,0.9095953421036571
保定,2020-09,49.55307262569833,25.63268156424581,0.9078967106688678
保定,2020-10,89.90040927694406,58.69304229195089,0.7891043025525533
保定,2020-11,86.76586741889986,56.634696755994355,0.7965003447483916
保定,2020-12,90.23691460055096,61.37655172413793,0.7794619229585157
保定,2021-01,93.20788043478261,55.66711956521739,0.799977040767455
保定,2021-02,104.30253353204174,70.4769001490313,0.7467625730332544
保定,2021-03,135.1518817204301,75.85483870967742,0.7274385772189751
保定,2021-04,82.59248956884562,40.24200278164117,0.8554025330447015
保定,2021-05,76.16397849462365,35.11021505376344,0.8738420602826931
保定,2021-06,61.77126917712692,28.340306834030685,0.8981676781055665
保定,2021-07,47.039083557951486,22.202156334231805,0.9202232656188756
保定,2021-08,51.51888111888112,25.316083916083915,0.9090343085716516
